"eaf039v1",NA,"Caruthers; William Alexander","The cavaliers of Virginia or The recluse of Jamestown Vol.1",NA,NA,1835,NA,NA
"eaf039v2",NA,"Caruthers; William Alexander","The cavaliers of Virginia or The recluse of Jamestown Vol.2",NA,NA,1835,NA,NA
"eaf040",NA,"Caruthers; William Alexander","The knights of the horse-shoe",NA,NA,1845,NA,NA
"eaf041",NA,"Child; Lydia Maria Francis","Hobomok",NA,NA,1824,NA,NA
"eaf042",NA,"Child; Lydia Maria Francis","The rebels or Boston before the Revolution",NA,NA,1825,NA,NA
"eaf045",NA,"Child; Lydia Maria Francis","The coronal",NA,NA,1832,NA,NA
"eaf046",NA,"Child; Lydia Maria Francis","Philothea",NA,NA,1836,NA,NA
"eaf047",NA,"Child; Lydia Maria Francis","Letters from New York",NA,NA,1843,NA,NA
"eaf048",NA,"Child; Lydia Maria Francis","Fact and fiction",NA,NA,1846,NA,NA
"eaf050",NA,"Clark; Willis Gaylord","The literary remains of the late Willis Gaylord Clark",NA,NA,1844,NA,NA
"eaf051v1",NA,"Cooper; James Fenimore","Precaution I",NA,NA,1820,NA,NA
"eaf051v2",NA,"Cooper; James Fenimore","Precaution II",NA,NA,1820,NA,NA
"eaf052v1",NA,"Cooper; James Fenimore","The spy I",NA,NA,1821,NA,NA
"eaf052v2",NA,"Cooper; James Fenimore","The spy II",NA,NA,1821,NA,NA
"eaf053v1",NA,"Cooper; James Fenimore","The pilot Vol.1",NA,NA,1823,NA,NA
"eaf053v2",NA,"Cooper; James Fenimore","The pilot Vol.2",NA,NA,1823,NA,NA
"eaf054v1",NA,"Cooper; James Fenimore","The pioneers or The sources of the Susquehanna Vol.1",NA,NA,1823,NA,NA
"eaf054v2",NA,"Cooper; James Fenimore","The pioneers or The sources of the Susquehanna Vol.2",NA,NA,1823,NA,NA
"eaf055v1",NA,"Cooper; James Fenimore","Lionel Lincoln or The leaguer of Boston Vol.1",NA,NA,1825,NA,NA
"eaf055v2",NA,"Cooper; James Fenimore","Lionel Lincoln or The leaguer of Boston Vol.2",NA,NA,1825,NA,NA
"eaf056v1",NA,"Cooper; James Fenimore","The last of the Mohicans Vol.1",NA,NA,1826,NA,NA
