"eaf216",NA,"Irving; Washington","Letters of Jonathan Oldstyle gent.",NA,NA,1824,NA,NA
"eaf217v1",NA,"Irving; Washington","Tales of a traveller Vol.1",NA,NA,1824,NA,NA
"eaf217v2",NA,"Irving; Washington","Tales of a traveller Vol.2",NA,NA,1824,NA,NA
"eaf217v3",NA,"Irving; Washington","Tales of a traveller Vol.3",NA,NA,1824,NA,NA
"eaf217v4",NA,"Irving; Washington","Tales of a traveller Vol.4",NA,NA,1824,NA,NA
"eaf218v1",NA,"Irving; Washington","A chronicle of the conquest of Granada Vol.1",NA,NA,1829,NA,NA
"eaf218v2",NA,"Irving; Washington","A chronicle of the conquest of Granada Vol.2",NA,NA,1829,NA,NA
"eaf219",NA,"Irving; Washington","The devil and Tom Walker",NA,NA,1830,NA,NA
"eaf220v1",NA,"Irving; Washington","The Alhambra Vol.1",NA,NA,1832,NA,NA
"eaf220v2",NA,"Irving; Washington","The Alhambra Vol.2",NA,NA,1832,NA,NA
"eaf221v1",NA,"Irving; Washington","The Crayon miscellany Vol.1",NA,NA,1835,NA,NA
"eaf221v2",NA,"Irving; Washington","The Crayon miscellany Vol.2",NA,NA,1835,NA,NA
"eaf221v3",NA,"Irving; Washington","The Crayon miscellany Vol.3",NA,NA,1835,NA,NA
"eaf222",NA,"Irving; Washington","The beauties of Washington Irving author of ""The sketch-book"" ""Knickerbocker"" ""Crayon miscellany"" &c.",NA,NA,1835,NA,NA
"eaf231",NA,"Irving; Washington","A book of the Hudson",NA,NA,1849,NA,NA
"eaf232",NA,"Jones; J. B. (John Beauchamp)","The western merchant",NA,NA,1849,NA,NA
"eaf233v1",NA,"Judah; Samuel B. H. (Samuel Benjamin Helbert)","The buccaneers Vol. 1",NA,NA,1827,NA,NA
"eaf233v2",NA,"Judah; Samuel B. H. (Samuel Benjamin Helbert)","The buccaneers Vol. 2",NA,NA,1827,NA,NA
"eaf234",NA,"Judd; Sylvester","Margaret",NA,NA,1845,NA,NA
"eaf235",NA,"Judd; Sylvester","Richard Edney and the governor's family",NA,NA,1850,NA,NA
"eaf236v1",NA,"Kennedy; John Pendleton","Swallow Barn or A sojourn in the Old Dominion Vol.1",NA,NA,1832,NA,NA
"eaf236v2",NA,"Kennedy; John Pendleton","Swallow Barn or A sojourn in the Old Dominion Vol.2",NA,NA,1832,NA,NA
"eaf238v1",NA,"Kennedy; John Pendleton","Rob of the Bowl Vol.1",NA,NA,1838,NA,NA
"eaf238v2",NA,"Kennedy; John Pendleton","Rob of the Bowl Vol.2",NA,NA,1838,NA,NA
"eaf239",NA,"Kennedy; John Pendleton","Quodlibet",NA,NA,1840,NA,NA
"eaf240",NA,"Kirkland; Caroline M. (Caroline Matilda)","A new home - who'll follow?",NA,NA,1839,NA,NA
"eaf241",NA,"Kirkland; Caroline M. (Caroline Matilda)","Western clearings no. 7",NA,NA,1845,NA,NA
"eaf242",NA,"Eastman; Mary Henderson","Dahcotah or Life and legends of the Sioux around Fort Snelling",NA,NA,1849,NA,NA
"eaf243v1",NA,"Kirkland; Caroline M. (Caroline Matilda)","Forest life Vol.1",NA,NA,1842,NA,NA
"eaf243v2",NA,"Kirkland; Caroline M. (Caroline Matilda)","Forest life Vol.2",NA,NA,1842,NA,NA
"eaf244",NA,"[None]","The fountain and the bottle",NA,NA,1850,NA,NA
"eaf245",NA,"Lippard; George","Adrian the neophyte",NA,NA,1843,NA,NA
"eaf246",NA,"Lippard; George","Original revolutionary chronicle",NA,NA,1843,NA,NA
"eaf247",NA,"Lippard; George","Herbert Tracy or The legend of the Black Rangers",NA,NA,1844,NA,NA
"eaf248",NA,"Lippard; George","The Ladye Annabel or The doom of the poisoner",NA,NA,1844,NA,NA
"eaf249",NA,"Lippard; George","Legends of Mexico",NA,NA,1847,NA,NA
"eaf250",NA,"Lippard; George","The Rose of Wissahikon or The Fourth of July 1776",NA,NA,1847,NA,NA
"eaf251",NA,"Lippard; George","Washington and his generals or Legends of the Revolution",NA,NA,1847,NA,NA
"eaf252",NA,"Lippard; George","'Bel of Prairie Eden",NA,NA,1848,NA,NA
"eaf253",NA,"Lippard; George","Paul Ardenheim the monk of Wissahikon",NA,NA,1848,NA,NA
"eaf255",NA,"Lippard; George","The man with the mask",NA,NA,1849,NA,NA
"eaf256",NA,"Lippard; George","Washington and his men",NA,NA,1849,NA,NA
"eaf258v1",NA,"Longfellow; Henry Wadsworth","Outre-mer Vol.1",NA,NA,1833,NA,NA
"eaf258v2",NA,"Longfellow; Henry Wadsworth","Outre-mer Vol.2",NA,NA,1833,NA,NA
"eaf259v1",NA,"Longfellow; Henry Wadsworth","Hyperion Vol.1",NA,NA,1839,NA,NA
"eaf259v2",NA,"Longfellow; Henry Wadsworth","Hyperion Vol.2",NA,NA,1839,NA,NA
"eaf261",NA,"Longfellow; Henry Wadsworth","Kavanagh",NA,NA,1849,NA,NA
"eaf262",NA,"Longstreet; Augustus Baldwin","Georgia scenes",NA,NA,1835,NA,NA
"eaf263",NA,"Mathews; Cornelius","Behemoth",NA,NA,1839,NA,NA
"eaf264",NA,"Mathews; Cornelius","The career of Puffer Hopkins",NA,NA,1842,NA,NA
"eaf265",NA,"Mathews; Cornelius","The various writings of Cornelius Mathews [...] complete in one volume",NA,NA,1843,NA,NA
"eaf266",NA,"Mathews; Cornelius","Big Abel and the little Manhattan",NA,NA,1845,NA,NA
"eaf267",NA,"Mathews; Cornelius","Chanticleer",NA,NA,1850,NA,NA
"eaf269",NA,"McHenry; James","The wilderness or Braddock's times",NA,NA,1823,NA,NA
"eaf270v1",NA,"McHenry; James","O'Halloran or The insurgent chief Vol. 1",NA,NA,1824,NA,NA
"eaf270v2",NA,"McHenry; James","O'Halloran or The insurgent chief Vol. 2",NA,NA,1824,NA,NA
"eaf271",NA,"McHenry; James","The betrothed of Wyoming",NA,NA,1830,NA,NA
"eaf272",NA,"McHenry; James","Meredith or The mystery of the Meschianza",NA,NA,1831,NA,NA
"eaf273",NA,"Melville; Herman","Typee no. 13-14",NA,NA,1846,NA,NA
"eaf274",NA,"Melville; Herman","Omoo",NA,NA,1847,NA,NA
"eaf275v1",NA,"Melville; Herman","Mardi Vol. 1",NA,NA,1849,NA,NA
"eaf275v2",NA,"Melville; Herman","Mardi Vol. 2",NA,NA,1849,NA,NA
"eaf276",NA,"Melville; Herman","Redburn his first voyage",NA,NA,1849,NA,NA
"eaf277",NA,"Melville; Herman","White-Jacket or The World in a man-of-war",NA,NA,1850,NA,NA
"eaf278",NA,"Mitchell; Donald Grant","Reveries of a bachelor or A book of the heart",NA,NA,1850,NA,NA
"eaf279v1",NA,"Mitchell; Donald Grant","The lorgnette or Studies of the town Vol. 1",NA,NA,1850,NA,NA
"eaf279v2",NA,"Mitchell; Donald Grant","The lorgnette or Studies of the town Vol. 2",NA,NA,1850,NA,NA
"eaf280",NA,"Mitchell; I. (Isaac)","A short account of the courtship of Alonzo & Melissa",NA,NA,1811,NA,NA
"eaf281v1",NA,"Mitchell; I. (Isaac)","The asylum or Alonzo and Melissa Vol.1",NA,NA,1811,NA,NA
"eaf281v2",NA,"Mitchell; I. (Isaac)","The asylum or Alonzo and Melissa Vol.2",NA,NA,1811,NA,NA
"eaf283",NA,"Morris; George Pope","The little Frenchman and his water lots with other sketches of the times",NA,NA,1839,NA,NA
"eaf284v1",NA,"Motley; John Lothrop","Morton's Hope or The memoirs of a provincial. Vol.1",NA,NA,1839,NA,NA
"eaf284v2",NA,"Motley; John Lothrop","Morton's Hope or The memoirs of a provincial. Vol.2",NA,NA,1839,NA,NA
"eaf285",NA,"Motley; John Lothrop","Merry-mount",NA,NA,1849,NA,NA
"eaf286",NA,"Myers; P. Hamilton (Peter Hamilton)","Ellen Welles or The siege of Fort Stanwix",NA,NA,1848,NA,NA
"eaf287",NA,"Myers; P. Hamilton (Peter Hamilton)","The first of the Knickerbockers",NA,NA,1848,NA,NA
"eaf288",NA,"Myers; P. Hamilton (Peter Hamilton)","The young patroon or Christmas in 1690",NA,NA,1849,NA,NA
"eaf289",NA,"Myers; P. Hamilton (Peter Hamilton)","The King of the Hurons",NA,NA,1850,NA,NA
"eaf291v1",NA,"Neal; John","Logan Vol. I",NA,NA,1822,NA,NA
"eaf291v2",NA,"Neal; John","Logan Vol. II",NA,NA,1822,NA,NA
"eaf292v1",NA,"Neal; John","Errata or The works of Will. Adams Vol. I",NA,NA,1823,NA,NA
"eaf292v2",NA,"Neal; John","Errata or The works of Will. Adams Vol. II",NA,NA,1823,NA,NA
"eaf293v1",NA,"Neal; John","Randolph Vol. I",NA,NA,1823,NA,NA
"eaf293v2",NA,"Neal; John","Randolph Vol. II",NA,NA,1823,NA,NA
"eaf294v1",NA,"Neal; John","Seventy-six Vol. I",NA,NA,1823,NA,NA
"eaf294v2",NA,"Neal; John","Seventy-six Vol. II",NA,NA,1823,NA,NA
"eaf295",NA,"Neal; John","Rachel Dyer",NA,NA,1828,NA,NA
"eaf296",NA,"Neal; John","Authorship",NA,NA,1830,NA,NA
"eaf297v1",NA,"Neal; John","The Down-easters &c. &c. &c. Vol. I",NA,NA,1833,NA,NA
"eaf297v2",NA,"Neal; John","The Down-easters &c. &c. &c. Vol. II",NA,NA,1833,NA,NA
"eaf298",NA,"Neal; Joseph C. (Joseph Clay)","Charcoal sketches or Scenes in a metropolis",NA,NA,1838,NA,NA
"eaf299",NA,"Neal; Joseph C. (Joseph Clay)","Peter Ploddy and other oddities",NA,NA,1844,NA,NA
"eaf301",NA,"Paulding; James Kirke","A sketch of old England",NA,NA,1822,NA,NA
"eaf302v1",NA,"Paulding; James Kirke","Koningsmarke the long Finne Vol. I",NA,NA,1823,NA,NA
"eaf302v2",NA,"Paulding; James Kirke","Koningsmarke the long Finne Vol. II",NA,NA,1823,NA,NA
"eaf303",NA,"Paulding; James Kirke","John Bull in America or The new Munchausen",NA,NA,1825,NA,NA
"eaf304",NA,"Paulding; James Kirke","The merry tales of the three wise men of Gotham",NA,NA,1826,NA,NA
"eaf305",NA,"Paulding; James Kirke","The new mirror for travellers and guide to the springs",NA,NA,1828,NA,NA
"eaf306",NA,"Paulding; James Kirke","Tales of the good woman",NA,NA,1829,NA,NA
"eaf307",NA,"Paulding; James Kirke","Chronicles of the city of Gotham",NA,NA,1830,NA,NA
"eaf308v1",NA,"Paulding; James Kirke","The Dutchman's fireside Vol. I",NA,NA,1831,NA,NA
"eaf308v2",NA,"Paulding; James Kirke","The Dutchman's fireside Vol. II",NA,NA,1831,NA,NA
"eaf311v1",NA,"Paulding; James Kirke","Westward ho! Vol. I",NA,NA,1832,NA,NA
"eaf311v2",NA,"Paulding; James Kirke","Westward ho! Vol. II",NA,NA,1832,NA,NA
"eaf314",NA,"Paulding; James Kirke","The book of Saint Nicholas",NA,NA,1836,NA,NA
"eaf315v1",NA,"Paulding; James Kirke","The old Continental or The price of liberty Vol. I",NA,NA,1846,NA,NA
"eaf315v2",NA,"Paulding; James Kirke","The old Continental or The price of liberty Vol. II",NA,NA,1846,NA,NA
"eaf316",NA,"Paulding; James Kirke","The Puritan and his daughter",NA,NA,1849,NA,NA
"eaf318",NA,"Pike; Albert","Prose sketches and poems",NA,NA,1834,NA,NA
"eaf319",NA,"Poe; Edgar Allan","The narrative of Arthur Gordon Pym. Of Nantucket",NA,NA,1838,NA,NA
"eaf320v1",NA,"Poe; Edgar Allan","Tales of the grotesque and arabesque Vol.1",NA,NA,1840,NA,NA
"eaf320v2",NA,"Poe; Edgar Allan","Tales of the grotesque and arabesque Vol.2",NA,NA,1840,NA,NA
"eaf321v1",NA,"Poe; Edgar Allan","Tales no. 2",NA,NA,1845,NA,NA
"eaf321v2",NA,"Poe; Edgar Allan","The raven and other poems no. 2",NA,NA,1845,NA,NA
"eaf323",NA,"Read; Thomas Buchanan","Paul Redding",NA,NA,1845,NA,NA
"eaf324",NA,"[None]","The inquisitor or Invisible rambler",NA,NA,1793,NA,NA
"eaf325",NA,"[None]","Charlotte",NA,NA,1794,NA,NA
"eaf326",NA,"[None]","Mentoria or The young lady's friend",NA,NA,1794,NA,NA
"eaf327",NA,"[None]","The fille de chambre",NA,NA,1794,NA,NA
"eaf328v1",NA,"[None]","Trials of the human heart Vol. 1",NA,NA,1795,NA,NA
"eaf328v2",NA,"[None]","Trials of the human heart Vol. 2",NA,NA,1795,NA,NA
"eaf329",NA,"[None]","Reuben and Rachel",NA,NA,1798,NA,NA
"eaf330",NA,"[None]","Sarah",NA,NA,1813,NA,NA
"eaf331",NA,"[None]","Charlotte's daughter",NA,NA,1828,NA,NA
"eaf332",NA,"Royall; Anne Newport","The Tennessean",NA,NA,1827,NA,NA
"eaf333",NA,"Sargent; Epes","What's to be done?",NA,NA,1842,NA,NA
"eaf334",NA,"Sargent; Epes","Fleetwood or The stain of birth",NA,NA,1845,NA,NA
"eaf335",NA,"Sedgwick; Catharine Maria","A New-England tale or Sketches of New-England character and manners.",NA,NA,1822,NA,NA
"eaf336",NA,"Sedgwick; Catharine Maria","Mary Hollis",NA,NA,1822,NA,NA
"eaf337v1",NA,"Sedgwick; Catharine Maria","Redwood Vol.1",NA,NA,1824,NA,NA
"eaf337v2",NA,"Sedgwick; Catharine Maria","Redwood Vol.2",NA,NA,1824,NA,NA
"eaf337v3",NA,"Sedgwick; Catharine Maria","Redwood Vol.3",NA,NA,1824,NA,NA
"eaf338",NA,"Sedgwick; Catharine Maria","The travellers",NA,NA,1825,NA,NA
"eaf339v1",NA,"Sedgwick; Catharine Maria","Hope Leslie or Early times in the Massachusetts Vol.1",NA,NA,1827,NA,NA
"eaf339v2",NA,"Sedgwick; Catharine Maria","Hope Leslie or Early times in the Massachusetts Vol.2",NA,NA,1827,NA,NA
"eaf341v1",NA,"Sedgwick; Catharine Maria","Clarence or A tale of our own times Vol.1",NA,NA,1830,NA,NA
"eaf341v2",NA,"Sedgwick; Catharine Maria","Clarence or A tale of our own times Vol.2",NA,NA,1830,NA,NA
"eaf343",NA,"Sedgwick; Catharine Maria","Home",NA,NA,1835,NA,NA
"eaf344",NA,"Sedgwick; Catharine Maria","Tales and sketches",NA,NA,1835,NA,NA
"eaf345v1",NA,"Sedgwick; Catharine Maria","The Linwoods; or ""Sixty years since"" in America Vol.1",NA,NA,1835,NA,NA
"eaf345v2",NA,"Sedgwick; Catharine Maria","The Linwoods; or ""Sixty years since"" in America Vol.2",NA,NA,1835,NA,NA
"eaf346",NA,"Sedgwick; Catharine Maria","The poor rich man and the rich poor man",NA,NA,1836,NA,NA
"eaf347",NA,"Sedgwick; Catharine Maria","Live and let live or Domestic service illustrated",NA,NA,1837,NA,NA
"eaf348",NA,"Sedgwick; Catharine Maria","The boy of Mount Rhigi",NA,NA,1848,NA,NA
"eaf349",NA,"Sedgwick; Catharine Maria","Tales of city life",NA,NA,1850,NA,NA
"eaf350",NA,"Sigourney; L. H. (Lydia Howard)","Sketch of Connecticut forty years since",NA,NA,1824,NA,NA
"eaf351",NA,"Sigourney; L. H. (Lydia Howard)","Sketches",NA,NA,1834,NA,NA
"eaf352",NA,"Sigourney; L. H. (Lydia Howard)","Myrtis",NA,NA,1846,NA,NA
"eaf353",NA,"Sigourney; L. H. (Lydia Howard)","Water-drops",NA,NA,1848,NA,NA
"eaf354",NA,"Simms; William Gilmore","Martin Faber",NA,NA,1833,NA,NA
"eaf355",NA,"Simms; William Gilmore","The book of my lady",NA,NA,1833,NA,NA
"eaf356v1",NA,"Simms; William Gilmore","Guy Rivers Vol. I",NA,NA,1834,NA,NA
"eaf356v2",NA,"Simms; William Gilmore","Guy Rivers Vol. II",NA,NA,1834,NA,NA
"eaf358v1",NA,"Simms; William Gilmore","The partisan Vol. I",NA,NA,1835,NA,NA
"eaf358v2",NA,"Simms; William Gilmore","The partisan Vol. I",NA,NA,1835,NA,NA
"eaf359v1",NA,"Simms; William Gilmore","The Yemassee Vol. I",NA,NA,1835,NA,NA
"eaf359v2",NA,"Simms; William Gilmore","The Yemassee Vol. II",NA,NA,1835,NA,NA
"eaf360v1",NA,"Simms; William Gilmore","Mellichampe Vol. 1",NA,NA,1836,NA,NA
"eaf360v2",NA,"Simms; William Gilmore","Mellichampe",NA,NA,1836,NA,NA
"eaf361v1",NA,"Simms; William Gilmore","Carl Werner Vol. 1",NA,NA,1838,NA,NA
"eaf361v2",NA,"Simms; William Gilmore","Carl Werner Vol. 2",NA,NA,1838,NA,NA
"eaf362v1",NA,"Simms; William Gilmore","Pelayo Vol. 1",NA,NA,1838,NA,NA
"eaf362v2",NA,"Simms; William Gilmore","Pelayo Vol. 2",NA,NA,1838,NA,NA
"eaf363v1",NA,"Simms; William Gilmore","Richard Hurdis or The avenger of blood : a tale of Alabama Vol.1",NA,NA,1838,NA,NA
"eaf363v2",NA,"Simms; William Gilmore","Richard Hurdis or The avenger of blood : a tale of Alabama Vol.2",NA,NA,1838,NA,NA
"eaf364v1",NA,"Simms; William Gilmore","The damsel of Darien Vol. 1",NA,NA,1839,NA,NA
"eaf364v2",NA,"Simms; William Gilmore","The damsel of Darien Vol. 2",NA,NA,1839,NA,NA
"eaf365v1",NA,"Simms; William Gilmore","Border beagles Vol. 1",NA,NA,1840,NA,NA
"eaf365v2",NA,"Simms; William Gilmore","Border beagles Vol. 2",NA,NA,1840,NA,NA
"eaf366v1",NA,"Simms; William Gilmore","The kinsmen or The black riders of Congaree Vol. 1",NA,NA,1841,NA,NA
"eaf366v2",NA,"Simms; William Gilmore","The kinsmen or The black riders of Congaree Vol. 2",NA,NA,1841,NA,NA
"eaf367v1",NA,"Simms; William Gilmore","Beauchampe or The Kentucky tragedy Vol.1",NA,NA,1842,NA,NA
"eaf367v2",NA,"Simms; William Gilmore","Beauchampe or The Kentucky tragedy Vol.2",NA,NA,1842,NA,NA
"eaf368",NA,"Simms; William Gilmore","The prima donna",NA,NA,1844,NA,NA
"eaf369",NA,"Simms; William Gilmore","Count Julian or The last days of the Goth",NA,NA,1845,NA,NA
"eaf370",NA,"Simms; William Gilmore","Helen Halsey or The Swamp state of Conelachita",NA,NA,1845,NA,NA
"eaf371v1",NA,"Simms; William Gilmore","The wigwam and the cabin Vol.1",NA,NA,1845,NA,NA
"eaf371v2",NA,"Simms; William Gilmore","The wigwam and the cabin Vol.2",NA,NA,1845,NA,NA
"eaf372",NA,"Simms; William Gilmore","Father Abbot or The home tourist",NA,NA,1849,NA,NA
"eaf373",NA,"Simms; William Gilmore","The lily and the totem or The Huguenots in Florida",NA,NA,1850,NA,NA
"eaf374v1",NA,"Smith; Richard Penn","The forsaken Vol. I",NA,NA,1831,NA,NA
"eaf374v2",NA,"Smith; Richard Penn","The forsaken Vol. II",NA,NA,1831,NA,NA
"eaf375v1",NA,"Smith; Richard Penn","The actress of Padua and other tales Vol. I",NA,NA,1836,NA,NA
"eaf375v2",NA,"Smith; Richard Penn","The actress of Padua and other tales Vol. II",NA,NA,1836,NA,NA
"eaf377",NA,"Smith; Seba","The life and writings of Major Jack Downing of Downingville",NA,NA,1833,NA,NA
"eaf378",NA,"Smith; Seba","The select letters of Major Jack Downing",NA,NA,1834,NA,NA
"eaf379",NA,"Smith; Seba","John Smith's letters with 'picters' to match",NA,NA,1839,NA,NA
"eaf380",NA,"Smith; Seba","May-day in New York or House-hunting and moving",NA,NA,1845,NA,NA
"eaf381",NA,"Snelling; William Joseph","Tales of the Northwest or Sketches of Indian life and character",NA,NA,1830,NA,NA
"eaf382",NA,"Leslie; Eliza","Mr. and Mrs. Woodbridge",NA,NA,1841,NA,NA
"eaf383",NA,"Stowe; Harriet Beecher","The Mayflower or Sketches of scenes and characters among the descendants of the Pilgrims",NA,NA,1843,NA,NA
"eaf384v1",NA,"Thomas; Frederick William","Clinton Bradshaw or The adventures of a lawyer Vol. I",NA,NA,1835,NA,NA
"eaf384v2",NA,"Thomas; Frederick William","Clinton Bradshaw or The adventures of a lawyer Vol. II",NA,NA,1835,NA,NA
"eaf385v1",NA,"Thomas; Frederick William","East and west Vol. I",NA,NA,1836,NA,NA
"eaf385v2",NA,"Thomas; Frederick William","East and west Vol. II",NA,NA,1836,NA,NA
"eaf386v1",NA,"Thomas; Frederick William","Howard Pinckney Vol. I",NA,NA,1840,NA,NA
"eaf386v2",NA,"Thomas; Frederick William","Howard Pinckney Vol. II",NA,NA,1840,NA,NA
"eaf387",NA,"Thomas; Frederick William","Sketches of character and tales founded on fact",NA,NA,1849,NA,NA
"eaf388",NA,"Thompson; Daniel P. (Daniel Pierce)","May Martin or The money diggers",NA,NA,1835,NA,NA
"eaf389",NA,"Thompson; Daniel P. (Daniel Pierce)","The adventures of Timothy Peacock Esquire or Freemasonry practically illustrated",NA,NA,1835,NA,NA
"eaf390v1",NA,"Thompson; Daniel P. (Daniel Pierce)","The Green Mountain boys Vol. 1",NA,NA,1839,NA,NA
"eaf390v2",NA,"Thompson; Daniel P. (Daniel Pierce)","The Green Mountain boys Vol. 2",NA,NA,1839,NA,NA
"eaf391",NA,"Thompson; Daniel P. (Daniel Pierce)","Locke Amsden The schoolmaster",NA,NA,1847,NA,NA
"eaf392",NA,"Thompson; Daniel P. (Daniel Pierce)","Lucy Hosmer or The guardian and ghost",NA,NA,1848,NA,NA
"eaf393",NA,"Thompson; Daniel P. (Daniel Pierce)","The Shaker lovers and other tales",NA,NA,1848,NA,NA
"eaf394",NA,"Jones; Joseph","Chronicles of Pineville",NA,NA,1845,NA,NA
"eaf395",NA,"Jones; Joseph","Major Jones's sketches of travel",NA,NA,1848,NA,NA
"eaf398",NA,"Thorpe; Thomas Bangs","The mysteries of the backwoods or Sketches of the Southwest",NA,NA,1846,NA,NA
"eaf399",NA,"[None]","A quarter race in Kentucky",NA,NA,1847,NA,NA
"eaf401",NA,"Trowbridge; J. T. (John Townsend)","Kate the accomplice or The preacher and burglar",NA,NA,1849,NA,NA
"eaf402v1",NA,"Tucker; Beverley","George Balcombe Vol. I",NA,NA,1836,NA,NA
"eaf402v2",NA,"Tucker; Beverley","George Balcombe Vol. II",NA,NA,1836,NA,NA
"eaf403v1",NA,"Tucker; Beverley","The partisan leader Vol.1",NA,NA,1836,NA,NA
"eaf403v2",NA,"Tucker; Beverley","The partisan leader Vol.2",NA,NA,1836,NA,NA
"eaf404",NA,"Tuckerman; Henry T. (Henry Theodore)","The Italian sketch book",NA,NA,1835,NA,NA
"eaf405",NA,"Tuckerman; Henry T. (Henry Theodore)","Isabel or Sicily",NA,NA,1839,NA,NA
"eaf406",NA,"Tuckerman; Henry T. (Henry Theodore)","Rambles and reveries",NA,NA,1841,NA,NA
"eaf407",NA,"Tyler; Royall","The Algerine captive or The life and adventures of Doctor Updike Underhill",NA,NA,1797,NA,NA
"eaf408",NA,"Tyler; Royall","The Yankey in London",NA,NA,1809,NA,NA
"eaf409v1",NA,"Ware; William","Letters of Lucius M. Piso from Palmyra to his friend Marcus Curtius at Rome Vol. 1",NA,NA,1837,NA,NA
"eaf409v2",NA,"Ware; William","Letters of Lucius M. Piso from Palmyra to his friend Marcus Curtius at Rome Vol. 2",NA,NA,1837,NA,NA
"eaf410v1",NA,"Ware; William","Probus or Rome in the third century Vol. 1",NA,NA,1838,NA,NA
"eaf410v2",NA,"Ware; William","Probus or Rome in the third century Vol. 2",NA,NA,1838,NA,NA
"eaf411v1",NA,"Ware; William","Julian or Scenes in Judea Vol. 1",NA,NA,1841,NA,NA
"eaf411v2",NA,"Ware; William","Julian or Scenes in Judea Vol. 2",NA,NA,1841,NA,NA
"eaf412",NA,"Whittier; John Greenleaf","Legends of New-England",NA,NA,1831,NA,NA
"eaf413",NA,"Whittier; John Greenleaf","Leaves from Margaret Smith's journal in the province of Massachusetts Bay 1678-9",NA,NA,1849,NA,NA
"eaf414v1",NA,"[None]","The legendary Vol. 1",NA,NA,1828,NA,NA
"eaf414v2",NA,"[None]","The legendary Vol. 2",NA,NA,1828,NA,NA
"eaf415v1",NA,"Willis; Nathaniel Parker","Inklings of adventure Vol. 1",NA,NA,1836,NA,NA
"eaf415v2",NA,"Willis; Nathaniel Parker","Inklings of adventure Vol. 2",NA,NA,1836,NA,NA
"eaf416",NA,"Willis; Nathaniel Parker","Romance of travel",NA,NA,1840,NA,NA
"eaf417",NA,"Willis; Nathaniel Parker","Dashes at life with a free pencil",NA,NA,1845,NA,NA
"eaf418",NA,"Willis; Nathaniel Parker","The complete works of N.P. Willis",NA,NA,1846,NA,NA
"eaf419",NA,"Willis; Nathaniel Parker","The miscellaneous works of N.P. Willis",NA,NA,1847,NA,NA
"eaf420",NA,"Willis; Nathaniel Parker","The prose works of N.P. Willis",NA,NA,1849,NA,NA
"eaf421",NA,"Willis; Nathaniel Parker","People I have met or Pictures of society and people of mark drawn under a thin veil of fiction",NA,NA,1850,NA,NA
"eaf422v1",NA,"Woodworth; Samuel","The champions of freedom or The mysterious chief Vol. 1",NA,NA,1816,NA,NA
"eaf422v2",NA,"Woodworth; Samuel","The champions of freedom or The mysterious chief Vol. 2",NA,NA,1816,NA,NA
"eaf424",NA,"Hawthorne; Nathaniel","Twice-told tales Vol. II",NA,NA,1842,NA,NA
"eaf552",NA,"Duganne; A. J. H. (Augustine Joseph Hickey)","The Prince Corsair or The three brothers of Guzan",NA,NA,1850,NA,NA
"eaf760",NA,"[None]","The arrow of gold or The shell gatherer",NA,NA,1850,NA,NA
"Wright2-0001",NA,"[None]","Autumn leaves",NA,NA,1853,NA,NA
"Wright2-0002",NA,"Abbot; Belle K.","Leah Mordecai",NA,NA,1875,NA,NA
"Wright2-0003",NA,"Abbott; L. A.","Seven wives and seven prisons or Experiences in the life of a matrimonial monomaniac",NA,NA,1870,NA,NA
"Wright2-0004",NA,"Abbott; Lyman","Laicus or the experiences of a layman in a country parish",NA,NA,1872,NA,NA
"Wright2-0006",NA,"Aconite; Tobias.","A narrative of startling interest!! Edward Barnett a neglected child of South Carolina who rose to be a peer of Great Britain and the stormy life of his grandfather Captain Williams or The earl's victims",NA,NA,1855,NA,NA
"Wright2-0010",NA,"Adams; F. Colburn","Justice in the by-ways",NA,NA,1856,NA,NA
"Wright2-0011",NA,"Adams; F. Colburn","The life and adventures of Maj. Roger Sherman Potter",NA,NA,1858,NA,NA
"Wright2-0012",NA,"Adams; F. Colburn","Manuel Pereira or The Sovereign rule of South Carolina with views of southern laws life and hospitality",NA,NA,1853,NA,NA
"Wright2-0013",NA,"Adams; F. Colburn","Our world or The slaveholder's daughter",NA,NA,1855,NA,NA
"Wright2-0014",NA,"Adams; F. Colburn","An outcast or Virtue and faith",NA,NA,1861,NA,NA
"Wright2-0015",NA,"Adams; F. Colburn","Siege of Washington D.C.",NA,NA,1867,NA,NA
"Wright2-0016",NA,"Adams; F. Colburn","The Von Toodleburgs or the history of a very distinguished family",NA,NA,1868,NA,NA
"Wright2-0017",NA,"Adams; H. A.; Mrs.","Dawn",NA,NA,1868,NA,NA
"Wright2-0018",NA,"Adams; Mrs. J. S.","Allegories of life",NA,NA,1872,NA,NA
"Wright2-0019",NA,"Adams; John S.","Town and country or Life at home and abroad without and within us",NA,NA,1855,NA,NA
"Wright2-0020",NA,"Adams; John Turvill","The knight of the golden melice",NA,NA,1857,NA,NA
"Wright2-0021",NA,"Adams; John Turvill","The lost hunter",NA,NA,1856,NA,NA
"Wright2-0022",NA,"Adams; Nehemiah","Bertha and her baptism",NA,NA,1857,NA,NA
"Wright2-0023",NA,"Adams; Nehemiah","Catharine",NA,NA,1859,NA,NA
"Wright2-0025",NA,"Optic; Oliver","Hatchie the guardian slave or The heiress of Bellevue",NA,NA,1853,NA,NA
"Wright2-0026",NA,"Optic; Oliver","In doors and out or Views from the chimney corner",NA,NA,1854,NA,NA
"Wright2-0027",NA,"Optic; Oliver","The way of the world",NA,NA,1867,NA,NA
"Wright2-0027A",NA,"Addison; Alvin.","Ellen Walton or The villain and his victims",NA,NA,1855,NA,NA
